year,drove_alone,carpooled,pub_trans,walked,other,wfh,total_workers_16_plus
2022,27745.377000000004,6429.41,4599.501,1582.624,1681.538,7418.549999999999,49457.0
2021,26519.518999999997,5503.156,3273.429,2182.286,1138.584,8824.026000000002,47441.0
2019,29234.948000000004,7271.383999999999,8815.307999999999,1743.14,647.4520000000001,2141.5719999999997,49853.804
2018,31948.32,4363.2,7417.44,2278.56,1163.52,1308.9600000000003,48479.99999999999
2017,28833.696,5258.976,7480.4400000000005,1677.4320000000002,1133.4,952.056,45336.0
2016,26647.74,4610.482,6344.7,1015.152,1861.112,1818.8139999999999,42298.0
2015,29000.702,5466.586,6717.415,2640.639,880.213,1621.4450000000002,46327.00000000001
2014,28027.818,5614.336,6184.5419999999995,2017.652,921.1020000000001,1096.55,43862.00000000001
2013,26292.951999999997,4717.008000000001,8473.143999999998,2664.236,960.8720000000001,567.788,43676.0
2012,27037.912,7362.234,5553.966,2109.646,129.162,818.026,43010.945999999996
2011,28507.512000000002,4078.635,6826.347,1889.0520000000001,515.196,1159.191,42975.93300000001
2010,26122.644,4291.872,7428.24,1403.112,660.288,1361.844,41268.0
