year,households,med_hh_inc,hh_with_earnings,mean_earnings,hh_with_soc_sec_inc,mean_soc_sec_inc,hh_with_sup_sec_inc,mean_sup_sec_inc,hh_with_cash_pub_assist_inc,mean_cash_pub_assist_inc,hh_with_retire_inc,mean_retire_inc,hh_with_food_stamp_snap,families,med_married_couple_fam_inc,married_couple_fam,med_male_hh_no_spouse_inc,male_hh_no_spouse_fam,med_female_hh_no_spouse_inc,female_hh_no_spouse_fam,med_fam_inc,individuals,indiv_per_cap_inc,indiv_with_earnings_ft_yr,indiv_ft_yr_mean_earnings
2022,32190.0,107149.0,28455.96,138669.0,8111.88,22259.0,836.94,10556.0,579.4200000000001,1316.0,6888.66,37426.0,3379.95,23121.0,116764.0,16531.515,131647.0,1641.591,66976.0,4947.894,79306.0,90566.0,48992.0,38713.0,88935.32529124584
2021,29191.0,100098.0,25658.889,114198.0,7852.378999999999,21673.0,1080.0670000000002,7721.0,1605.505,5881.0,5779.818,26053.0,2276.898,20642.0,113072.0,16658.094,123980.0,1094.026,52813.0,2889.88,72290.0,88410.0,41632.0,37257.0,74621.44198405668
2019,26642.0,99311.0,23977.8,107921.0,6820.352,22222.0,532.84,13075.0,666.0500000000001,2642.0,5887.882,33649.0,1625.162,18304.0,102069.0,14515.071999999998,110962.0,1427.712,,2361.216,98438.0,90604.0,37248.0,37340.0,68987.51826459561
2018,28119.0,90519.0,24604.125,115456.0,7564.010999999999,23222.0,1546.545,9181.0,,,3346.161,33164.0,2530.71,19113.0,104471.0,14430.315,111997.0,1395.249,103879.0,3287.4359999999997,85308.0,88862.0,40071.0,36815.0,72488.73842183892
2017,26139.0,80633.0,23002.32,107240.0,7031.390999999999,18420.0,914.8650000000001,9327.0,653.475,2282.0,2326.371,24875.0,1385.367,18198.0,88280.0,12301.847999999998,103922.0,1565.0279999999998,111429.0,4349.322,65261.0,83710.0,35506.0,34865.0,67545.53535063818
2016,23580.0,85467.0,21670.02,101973.0,5446.9800000000005,22845.0,1108.26,10650.0,518.7600000000001,,2994.66,30206.0,1909.98,16318.0,100429.0,12124.274,104882.0,766.946,71106.0,3410.462,66060.0,75230.0,36278.0,30886.0,65346.31794340478
2015,25286.0,85545.0,23288.406,100788.0,5208.916,22370.0,1036.7259999999999,7439.0,632.1500000000001,2198.0,2553.886,31051.0,1921.7359999999999,17532.0,94014.0,13727.555999999999,115315.0,824.004,58906.0,2980.44,46875.0,81632.0,35065.0,33455.0,67200.70614257958
2014,22226.0,90424.0,20359.016,97772.0,5089.754,19799.0,777.9100000000001,7285.0,533.424,3467.0,2622.668,20909.0,1644.7240000000002,16003.0,96734.0,12626.367,99299.0,624.117,90305.0,2752.5159999999996,91497.0,79608.0,31084.0,31611.0,60176.819208503366
2013,26959.0,75459.0,24236.141,91695.0,6820.627,18454.0,1159.2369999999999,6401.0,512.221,2231.0,2237.597,21639.0,2102.802,18855.0,82036.0,13198.5,97686.0,1734.66,50118.0,3921.84,67023.0,83472.0,31108.0,32393.0,61210.763529157535
2012,23724.0,86429.0,21826.08,98921.0,4673.628,17122.0,687.996,7130.0,332.13599999999997,3208.0,2372.4,57828.0,996.408,17179.0,89085.0,12403.238,99789.0,962.0239999999999,86275.0,3813.738,73228.0,78113.0,34397.0,33616.0,62310.86530223703
2011,22701.0,82387.0,21497.847,91562.0,4267.788,16029.0,635.6279999999999,9095.0,749.133,6897.0,1634.4720000000002,23199.0,658.329,15107.0,90562.0,11813.674,99231.0,770.457,36094.0,2522.8689999999997,59063.0,75245.0,31852.0,29678.0,62135.407608329406
2010,24310.0,78863.0,22583.99,88225.0,5153.72,17355.0,656.3700000000001,6823.0,607.75,1910.0,2479.62,25657.0,1434.2900000000002,17208.0,90060.0,13405.032000000001,95909.0,585.072,,3217.896,72307.0,72344.0,31626.0,30936.0,57675.24476338247
