Year,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services",Other services (except public administration),Public administration,Total Civilian Employed Population 16+
2022,0.0,904.5900000000001,2814.2799999999997,703.5699999999999,5327.03,2563.0049999999997,854.335,3367.085,6332.13,21408.63,3166.065,2160.9649999999997,552.8050000000001,50154.49
2021,47.687,715.305,5245.57,1144.488,3814.96,3099.655,619.931,2145.915,5197.883,19694.731,2861.22,1716.7320000000002,1287.5490000000002,47591.626000000004
2019,101.64,1372.14,3455.76,254.1,4777.08,3049.2,711.4799999999999,3709.8599999999997,6250.860000000001,21750.96,3659.0400000000004,1270.5,457.38000000000005,50820.0
2018,98.436,147.654,2657.7720000000004,639.8340000000001,2953.08,2362.464,836.706,3740.5679999999998,5660.070000000001,23181.678,4183.530000000001,2214.81,541.398,49218.0
2017,0.0,319.70399999999995,2557.6319999999996,685.0799999999999,4886.9039999999995,2374.9440000000004,685.0799999999999,2968.6800000000003,4064.8080000000004,19912.992,2100.912,3608.088,1461.5040000000001,45626.327999999994
2016,128.805,300.54499999999996,1631.53,772.83,3177.1900000000005,1889.14,729.8950000000001,2747.84,4765.785,20823.475,2619.035,2619.035,686.96,42892.06500000001
2015,0.0,188.44,3533.25,1319.08,4051.4599999999996,1884.4,1319.08,2826.6,5511.87,21011.06,3015.04,1413.3,1036.42,47110.00000000001
2014,0.0,754.375,1775.0,754.375,4526.25,1863.7500000000002,798.7500000000001,2751.25,3061.8750000000005,22187.5,3905.0000000000005,1597.5000000000002,443.75,44419.375
2013,0.0,357.32800000000003,3483.948,937.9860000000001,3171.2859999999996,2233.3,893.32,3528.614,4913.26,19876.37,3126.6200000000003,1607.976,491.326,44621.334
2012,43.68,174.72,2096.64,655.1999999999999,2708.16,2446.08,611.52,2577.1200000000003,5197.92,21315.84,2620.7999999999997,1790.8799999999999,1441.44,43680.00000000001
2011,87.674,306.859,3463.123,657.555,3638.471,1578.1320000000003,745.229,2849.405,3463.123,20515.716,3726.1450000000004,1884.9909999999998,964.4140000000001,43880.837
2010,0.0,335.008,3978.2200000000003,544.388,2931.32,2889.4440000000004,1046.9,3852.592,4061.9719999999998,17713.548,1800.668,1968.172,711.892,41834.123999999996
