year,eng_only,lang_other_than_eng,eng_lt_very_well,total_pop_5_plus
2022,34423.200000000004,51634.799999999996,8623.011599999998,86058.0
2021,37797.75,46197.25000000001,7391.560000000001,83995.0
2019,34196.558,51724.441999999995,8586.257372,85921.0
2018,30771.816,53304.184,10287.707512,84076.0
2017,29179.417,49049.583,9466.569519,78229.0
2016,28135.145999999997,43273.854,8048.936844000001,71409.0
2015,28323.592000000004,48852.408,8842.285848000001,77176.0
2014,25456.985,50534.015,8944.520655,75991.0
2013,25771.227999999996,52560.772,10880.079803999999,78332.0
2012,23108.36,49331.63999999999,11099.618999999999,72440.0
2011,24886.892000000003,45020.108,10714.785704000002,69907.0
2010,21816.065999999995,45725.934,9282.364602000001,67542.0
